,IndProjectID,SWE,AFP,EI,EO,EQ,ILF,EIF,NPDR,IS_Banking,IS_Communication,IS_Construction,IS_Electronics & Computers,IS_Financial,IS_Government,IS_Insurance,IS_Manufacturing,IS_Medical & Health Care,IS_Mining,IS_Professional Services,IS_Service Industry,IS_Utilities,IS_Wholesale & Retail,RS_M1,RS_M2,RS_S
142,0.7845269116722078,0.7680319955868156,0.4926315789473684,0.1837837837837838,0.24203821656050956,0.34558823529411764,0.7482517482517483,0.8979591836734693,0.31304347826086953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156,0.818132806182047,0.37829264928975315,0.6821052631578947,0.35135135135135137,0.5414012738853503,0.5294117647058824,0.8041958041958043,0.4693877551020408,0.11130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,0.6240902147542458,0.3013377465177217,0.17473684210526316,0.08648648648648649,0.3694267515923567,0.08823529411764705,0.1258741258741259,0.3061224489795918,0.3043478260869565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0.03746967382514155,0.7869259412494829,0.47789473684210526,0.4702702702702703,0.9426751592356688,0.06617647058823528,0.24475524475524474,0.0,0.3095652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
63,0.3258603648126516,0.68018204385602,0.5789473684210525,0.31891891891891894,0.07006369426751592,0.6838235294117646,0.6293706293706294,0.8979591836734693,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
85,0.4639230838350256,0.13501585988139567,0.21263157894736842,0.08648648648648649,0.178343949044586,0.2720588235294118,0.18181818181818182,0.6122448979591836,0.12173913043478263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139,0.7748225357174949,0.08040270307543787,0.6168421052631579,0.7081081081081082,0.2866242038216561,0.6691176470588235,0.4195804195804196,0.6122448979591836,0.019130434782608702,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
148,0.797286368945997,0.2683767756171563,0.23999999999999996,0.12432432432432433,0.29299363057324845,0.09558823529411764,0.4405594405594406,0.1020408163265306,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,0.8670590349537246,0.4784167701006758,0.19999999999999998,0.016216216216216217,0.07006369426751592,0.00735294117647059,0.6363636363636364,0.510204081632653,0.41043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
147,0.7963878156168569,0.0038615363398152025,0.10526315789473681,0.24324324324324326,0.038216560509554146,0.022058823529411763,0.07692307692307691,0.7142857142857142,0.04347826086956523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.031000089855332924,0.6466694249069094,0.18526315789473682,0.10810810810810811,0.21019108280254778,0.2573529411764706,0.13986013986013984,0.32653061224489793,0.7130434782608694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,0.7056788570401653,0.565990897807199,0.3999999999999999,0.47567567567567565,0.3885350318471338,0.1691176470588235,0.32167832167832167,0.0,0.34782608695652173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,0.7615688741126785,0.3196800441318439,0.3621052631578947,0.35135135135135137,0.5859872611464969,0.15441176470588233,0.17482517482517484,0.3061224489795918,0.16347826086956524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
