,ProjectID,realValues,predictValues,AFP,MRE,BRE,IBRE
0,0.988723155719292,0.32671355675079305,0.42815537522185504,0.7389473684210526,0.24849818436948323,0.24849818436948323,0.19903768181687811
2,0.5713900620001797,0.4102882361053648,0.3732388141351455,0.2842105263157895,0.0753352099568312,0.08147299515245314,0.0753352099568312
3,0.9700781741396352,0.06412908564335952,0.16481408047163176,0.16421052631578945,0.6913512286929941,0.6913512286929941,0.40875674842962195
4,0.6181148351154642,0.4300096538408496,0.394454043540358,0.5242105263157895,0.06951030743835655,0.07470293114907514,0.06951030743835655
7,0.1347380717045557,0.2836850089642808,0.4266633701509147,0.5431578947368421,0.39151665293213095,0.39151665293213095,0.28135966041595517
8,0.4660796118249618,0.16508067852709973,0.2562658188198409,0.2021052631578947,0.3697894028314687,0.3697894028314687,0.26996077066086455
9,0.4722796297960284,0.03103020273065785,0.2960959414630594,0.6421052631578947,2.3553819504272595,2.3553819504272595,0.7019713359688711
10,0.29854434360679305,0.3229899324231141,0.3966413949961092,0.4042105263157895,0.1820820849358294,0.1820820849358294,0.15403506004890846
11,0.4247910863509749,0.19073231278444355,0.3561534604229063,0.16631578947368422,0.6076336076628638,0.6076336076628638,0.3779677189917831
12,0.025608769880492432,0.3802234174596608,0.278275691265471,0.2105263157894737,0.22079538907827653,0.28335996217616966,0.22079538907827653
14,0.7345224189055621,0.4202179009791753,0.22440387513631688,0.22105263157894736,0.3902824357852024,0.6401036458377467,0.3902824357852024
15,0.15837002426093988,0.5151013653289203,0.2629702462479887,0.1263157894736842,0.42260812400735887,0.7319259961543778,0.42260812400735887
16,0.5594842303890737,0.7865122052130742,0.26805306806718554,0.16,0.5972906265403302,1.4831803427097212,0.5972906265403302
17,0.3594213316560338,0.4995173079575231,0.4153053040422894,0.3221052631578947,0.14493739387357218,0.1695050079784942,0.14493739387357218
18,0.5982118788750113,0.4370431664597986,0.4210585724582213,0.4084210526315789,0.030825609336552418,0.03180605021501937,0.030825609336552418
19,0.223425285290682,0.5475106881809406,0.27588220388022255,0.22315789473684208,0.4318303309941912,0.7600376340923195,0.4318303309941912
20,0.5224638332285021,0.02551372224520756,0.3104560547744878,0.21684210526315786,2.6625217180023335,2.6625217180023335,0.7269640763944918
22,0.4645969988318806,0.2439663494690388,0.2661373126501363,0.5747368421052631,0.0681193449263296,0.0681193449263296,0.0637750315542014
23,0.2785066043669691,0.18494000827472076,0.32107137441365685,0.3326315789473684,0.5109153912388331,0.5109153912388331,0.33814957091668923
25,0.2886153293197951,0.06881809405599229,0.3308574519507451,0.0694736842105263,1.7431627377017,1.7431627377017,0.6354572821159606
26,0.7472818761793512,0.6716314991035719,0.43119458610257333,0.39368421052631575,0.31924703464021986,0.46896165112038374,0.31924703464021986
27,0.11973223110791625,0.8438836022617571,0.3063530154526468,0.07789473684210528,0.5808694910510966,1.3858916939924097,0.5808694910510966
28,0.038008805822625565,0.1853537443111295,0.2434769876001911,0.2610526315789473,0.21780446361187883,0.21780446361187883,0.17885011109738744
29,0.4684158504807261,0.08922907185215834,0.2916027943424963,0.5199999999999999,1.1853084505472058,1.1853084505472058,0.5423986944499308
30,0.94765926857759,0.4213211970762654,0.32745137322530593,0.4378947368421052,0.18668406273815333,0.22953449475815507,0.18668406273815333
31,0.4604636535178363,0.3505723348503655,0.46576697697449926,0.9347368421052632,0.2666059208560786,0.2666059208560786,0.21048845301140226
33,0.6580106029292838,0.16080540615087574,0.2842705652841899,0.36,0.5095309441523398,0.5095309441523398,0.33754256322215453
34,0.9097403180878784,0.056406012963729164,0.32489646631265057,0.1326315789473684,1.9468242772330284,1.9468242772330284,0.6606516351429793
35,0.2905022913109893,0.04344228382292098,0.36510599718680237,0.3536842105263157,2.5743748185447064,2.5743748185447064,0.720230795379443
36,0.2434630245305059,0.9669011170872984,0.38501145274745363,0.2652631578947369,0.5550226198537508,1.2473052443055272,0.5550226198537508
