Ind,ProjectID,SWE,AFP,EI,EO,EQ,ILF,EIF,NPDR,IS_Banking,IS_Communication,IS_Construction,IS_ElectronicsComputers,IS_Financial,IS_Government,IS_Insurance,IS_Manufacturing,IS_Medical,IS_Mining,IS_ProfessionalServices,IS_ServiceIndustry,IS_Utilities,IS_WholesaleRetail,RS_M1,RS_M2,RS_S
94,0.531179801,0.761274307,0.309473684,0.091891892,0.171974522,0.757352941,0.034965035,0.632653061,0.443478261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
136,0.751864498,0.06716315,0.016842105,0,0.076433121,0.022058824,0.153846154,0.142857143,0.189565217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
146,0.795489262,0.079437319,0.416842105,0.308108108,0.72611465,0.397058824,0.125874126,0.510204082,0.033043478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
159,0.844550274,0.284650393,0.130526316,0.043243243,0.114649682,0.139705882,0.13986014,0.673469388,0.413913043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
17,0.078713272,0.081643911,0.848421053,0.416216216,0.649681529,0.919117647,0.629370629,0.918367347,0.010434783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
165,0.885434451,0.896428079,0.602105263,0.751351351,0.375796178,0.279411765,0.433566434,0.204081633,0.393043478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,0.463923084,0.13501586,0.212631579,0.086486486,0.178343949,0.272058824,0.181818182,0.612244898,0.12173913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
155,0.8163357,0.175699903,0.284210526,0.632432432,0.178343949,0.110294118,0.118881119,0.204081633,0.109565217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,0.803306676,0.24879327,0.625263158,0.627027027,0.554140127,0.132352941,0.664335664,0.918367347,0.071304348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
164,0.872944559,0.29402841,0.555789474,0.297297297,0.993630573,0.227941176,0.370629371,0.102040816,0.106086957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,0.359960464,0.066887326,0.515789474,0.837837838,0.23566879,0.044117647,0.468531469,0.204081633,0.026086957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
93,0.528529068,0.088125776,0.574736842,0.805405405,0.076433121,0.698529412,0.608391608,0,0.029565217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0.062359601,0.062198317,0,0.010810811,0.063694268,0.022058824,0.167832168,0.448979592,0.146086957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,0.037289963,0.204799338,0.174736842,0.124324324,0.127388535,0.191176471,0.027972028,0.93877551,0.194782609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
143,0.789648666,0.600744725,0.115789474,0.091891892,0.152866242,0.110294118,0.174825175,0.142857143,0.777391304,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,0.587564022,0,0.549473684,0.621621622,0.076433121,0.610294118,0.468531469,0.408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
118,0.679935304,0.753827058,0.349473684,0.275675676,0.108280255,0.610294118,0.272727273,0.244897959,0.40173913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36,0.163896127,0.140394428,0.463157895,0.308108108,0.012738854,0.551470588,0.615384615,0,0.073043478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0.019049331,0.101503241,0.513684211,0.108108108,0.751592357,0.397058824,0.51048951,0.306122449,0.045217391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0.230299218,0.020824714,0.275789474,0.037837838,0.101910828,0.632352941,0.370629371,0.102040816,0.034782609,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
175,0.960868003,0.110881258,0.391578947,0.102702703,0.203821656,0.360294118,0.524475524,0.959183673,0.059130435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
152,0.805597987,1,0.570526316,0.72972973,0.515923567,0.411764706,0.699300699,0.346938776,0.285217391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
138,0.763455836,0.303268515,0.109473684,0.081081081,0.165605096,0.007352941,0.307692308,0.040816327,0.346086957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
163,0.867059035,0.47841677,0.2,0.016216216,0.070063694,0.007352941,0.636363636,0.510204082,0.410434783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
151,0.805013928,0.105916425,0.206315789,0.102702703,0.114649682,0.191176471,0.321678322,0.510204082,0.113043478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
161,0.859016983,0.099848297,0.366315789,0.297297297,0.101910828,0.117647059,0.615384615,0.714285714,0.059130435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,0.028394285,0.079988967,0.24,0.459459459,0.070063694,0.095588235,0.370629371,0,0.067826087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,0.694132447,0.665839195,0.147368421,0.043243243,0.191082803,0.176470588,0.272727273,0.102040816,0.612173913,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,0.040659538,0.732174872,0.671578947,0.437837838,0.840764331,0.426470588,0.601398601,0.040816327,0.224347826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,0.60589451,0.413873948,0.858947368,0.875675676,0.267515924,0.786764706,0.629370629,0.87755102,0.095652174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,0.155674364,0.736863881,0.566315789,0.275675676,0.484076433,0.919117647,0.125874126,0.714285714,0.288695652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,0.149698985,0.842504482,0.132631579,0.064864865,0.146496815,0.301470588,0.146853147,0.040816327,0.805217391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
169,0.931665019,0.00137912,0.117894737,0.102702703,0.038216561,0.073529412,0.146853147,0.816326531,0.059130435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,0.6815527,0.008964281,0.111578947,0.135135135,0.242038217,0.139705882,0.048951049,0,0.062608696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,0.070221943,0.223555372,0.069473684,0.043243243,0.197452229,0.044117647,0.027972028,0.408163265,0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,0.799937101,0.06923183,0.404210526,0.156756757,0.267515924,0.117647059,0.671328671,0.918367347,0.03826087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
111,0.627819211,0.058198869,0.153684211,0.059459459,0.210191083,0.25,0,0.632653061,0.093913043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
63,0.325860365,0.680182044,0.578947368,0.318918919,0.070063694,0.683823529,0.629370629,0.897959184,0.347826087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,0.21659628,0.715349607,0.336842105,0.178378378,0.305732484,0.323529412,0.244755245,0.734693878,0.533913043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
144,0.792209543,0.618811198,0.522105263,0.875675676,0.630573248,0.191176471,0.048951049,0,0.231304348,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
108,0.611780034,0.185905392,0.084210526,0.178378378,0.01910828,0.139705882,0.174825175,0.204081633,0.226086957,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,0.070401653,0.461039857,0.248421053,0.232432432,0.076433121,0.397058824,0.125874126,0.551020408,0.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
134,0.750157247,0.117087298,0.248421053,0.189189189,0.242038217,0.183823529,0.118881119,0.612244898,0.102608696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10,0.037469674,0.786925941,0.477894737,0.47027027,0.942675159,0.066176471,0.244755245,0,0.309565217,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
170,0.940156348,0.667632051,0.463157895,0.075675676,1,0.330882353,0.076923077,0.918367347,0.269565217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
97,0.552161021,0.203282306,0.362105263,0.362162162,0.802547771,0.125,0.027972028,0.102040816,0.133913043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,0.350570581,0.317059716,0.311578947,0.524324324,0.101910828,0.022058824,0.272727273,0,0.262608696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0.027316021,0.044131844,0.393684211,0.281081081,0.229299363,0.720588235,0.223776224,0.102040816,0.027826087,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
