Ind,ProjectID,SWE,AFP,EI,EO,EQ,ILF,EIF,NPDR,IS_Banking,IS_Communication,IS_Construction,IS_ElectronicsComputers,IS_Financial,IS_Government,IS_Insurance,IS_Manufacturing,IS_Medical,IS_ProfessionalServices,IS_ServiceIndustry,IS_Utilities,IS_WholesaleRetail,RS_M1,RS_M2
240,0.819479541,0.814553991,0.315384615,0.074074074,0.53125,0.051194539,0.057142857,0,0.610344828,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
247,0.838010374,0.147887324,0.692307692,0.182098765,0.28125,0.044368601,0.604081633,0.091549296,0.072413793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
147,0.521523252,0.032193159,0.846153846,0.5,0.09375,0.33447099,0.395918367,0.017605634,0.020689655,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239,0.817883584,0.78537894,0.834615385,0.367283951,0,0.491467577,0.33877551,0,0.24137931,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
273,0.939442302,0.079141516,0.223076923,0.12654321,0.245535714,0.19112628,0.142857143,0,0.148275862,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
53,0.164472226,0.303822938,0.103846154,0.064814815,0.169642857,0.133105802,0.028571429,0.144366197,0.475862069,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
143,0.510528882,0.273641851,0.65,0.166666667,0.3125,0.09556314,0.2,0.341549296,0.120689655,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
82,0.274814913,0.267605634,0.403846154,0.175925926,0.397321429,0.098976109,0.13877551,0.088028169,0.182758621,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
270,0.937669016,0.894030852,0.461538462,0.145061728,0.116071429,0.273037543,0.342857143,0,0.448275862,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
80,0.271667332,0.515090543,0.903846154,0.299382716,0.357142857,0.092150171,1,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
105,0.369863014,0.038564722,0.388461538,0.046296296,0.084821429,0.088737201,0.4,0.253521127,0.082758621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
254,0.85827016,0.331991952,0.626923077,0.182098765,0.15625,0.020477816,0.742857143,0.035211268,0.148275862,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
102,0.34592366,0.588866533,0.365384615,0.339506173,0.111607143,0.020477816,0.2,0.017605634,0.482758621,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,0.751474044,0.595238095,0.457692308,0.240740741,0.450892857,0.081911263,0.142857143,0.070422535,0.286206897,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
37,0.10063395,0.214956405,0.465384615,0.086419753,0.410714286,0.194539249,0,0.105633803,0.193103448,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,0.084319723,0.042924212,0.284615385,0.064814815,0.745535714,0.010238908,0.040816327,0,0.15862069,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,0.166688833,0.014419852,0.080769231,0.203703704,0.133928571,0.054607509,0.146938776,0.035211268,0.151724138,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,0.70346234,0.505030181,0.403846154,0.169753086,0.258928571,0.187713311,0.248979592,0.017605634,0.286206897,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
226,0.788668706,0.648558015,0.846153846,0.200617284,0.1875,0,0.428571429,0.482394366,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
95,0.311787915,0.896042924,0.776923077,0.478395062,0.03125,0.385665529,0.208163265,0.017605634,0.293103448,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
181,0.642860309,0.478537894,0.326923077,0.012345679,0.040178571,0.14334471,0.2,0.387323944,0.34137931,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
151,0.535266214,0.870556673,0.096153846,0.219135802,0.049107143,0.109215017,0.057142857,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
175,0.621181895,0.61602951,0.142307692,0.388888889,0,0.129692833,0,0,0.648275862,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0.058651416,0.195506372,0.246153846,0.148148148,0.254464286,0.081911263,0.269387755,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
79,0.270248703,0.603286385,0.657692308,0.293209877,0.366071429,0.092150171,0.310204082,0,0.25862069,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
185,0.663253092,0,1,0.37037037,0.419642857,0.262798635,0.257142857,0.035211268,0.013793103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90,0.304340116,0.106304494,0.388461538,0.398148148,0.169642857,0.156996587,0.232653061,0,0.120689655,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0.082723766,0.145539906,0.496153846,0.385802469,0.424107143,0,0.114285714,0.10915493,0.089655172,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
66,0.217227468,0.175720993,0.588461538,0,0.901785714,0,0.028571429,0.193661972,0.113793103,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
194,0.688877067,0.038229376,0.388461538,0.166666667,0.4375,0.156996587,0.167346939,0,0.082758621,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
160,0.55654564,0.143527834,0.342307692,0.160493827,0.15625,0,0.228571429,0.264084507,0.144827586,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
94,0.310768276,0.614352783,0.319230769,0.339506173,0.116071429,0.163822526,0.114285714,0,0.379310345,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
252,0.857161857,0.141851107,0.646153846,0.462962963,0.03125,0.450511945,0,0,0.082758621,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,0.004699206,0.623742455,0.626923077,0.287037037,0,0.662116041,0.081632653,0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
161,0.560624196,0.139503689,0.480769231,0.197530864,0.254464286,0.293515358,0.171428571,0.017605634,0.106896552,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
193,0.682360243,0.807847082,0.442307692,0.37962963,0.044642857,0.136518771,0.465306122,0,0.365517241,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
207,0.723456133,0.072434608,0.411538462,0.135802469,0.352678571,0.116040956,0.32244898,0,0.093103448,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
232,0.802677661,0.248490946,0.323076923,0.293209877,0.111607143,0.116040956,0.163265306,0,0.231034483,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
206,0.72110653,0.441314554,0.888461538,0.166666667,0.316964286,0.419795222,0.457142857,0,0.131034483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
85,0.279070798,0.28101945,0.065384615,0.074074074,0,0.208191126,0.069387755,0.088028169,0.431034483,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
78,0.269894046,0.403420523,0.319230769,0.018518519,0.205357143,0.5221843,0.028571429,0,0.275862069,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
107,0.380015073,0.176727029,0.423076923,0.12037037,0.3125,0.061433447,0.253061224,0.193661972,0.131034483,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,0.457507647,0.504694836,0.519230769,0.262345679,0.075892857,0.088737201,0.542857143,0,0.317241379,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
188,0.671011216,0.017437961,0.011538462,0.172839506,0,0.092150171,0.155102041,0.024647887,0.282758621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
220,0.780910582,0.80952381,0.576923077,0.021604938,0.040178571,0.726962457,0.183673469,0.017605634,0.334482759,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,0.050760296,0.112676056,0.434615385,0.172839506,0.205357143,0.054607509,0.220408163,0.246478873,0.120689655,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
210,0.724786097,0.839704896,0.2,0.138888889,0.174107143,0.129692833,0.171428571,0.017605634,0.731034483,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,0.785166467,0.881287726,0.392307692,0,0.383928571,0,0.204081633,0.457746479,0.382758621,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
137,0.492530035,0.36351442,0.080769231,0.074074074,0.129464286,0.126279863,0.244897959,0,0.406896552,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
132,0.47976238,0.089201878,0.926923077,0.101851852,0.196428571,1,0,0,0.037931034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.023274372,0.358819584,0.461538462,0.481481481,0.0625,0.245733788,0.028571429,0,0.203448276,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
250,0.849270736,0.236083166,0.942307692,0.061728395,0.089285714,0.313993174,0.820408163,0.144366197,0.065517241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,0.305803077,0.026827632,0.446153846,0.419753086,0.142857143,0.122866894,0,0,0.120689655,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26,0.055104846,0.205231388,0.876923077,0.351851852,0.709821429,0.300341297,0.142857143,0.176056338,0.031034483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,0.025269318,0.742454728,0.180769231,0.040123457,0.241071429,0.184300341,0.163265306,0.024647887,0.582758621,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
166,0.595690916,0.288397049,0.403846154,0.080246914,0.5,0.092150171,0.204081633,0,0.217241379,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,0.199804939,0.894701543,0.8,0.5,0.022321429,0.28668942,0.183673469,0.017605634,0.420689655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
81,0.274016935,0.323943662,0.492307692,0.101851852,0.178571429,0.040955631,0.444897959,0.221830986,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
274,0.942900208,0.733735748,0.965384615,0.206790123,0.459821429,0.262798635,0.4,0.070422535,0.275862069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,0.166201179,0.763246144,0.911538462,0.432098765,0.808035714,0.153583618,0,0,0.217241379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
124,0.458438622,0.411133467,0.846153846,0.5,0.107142857,0.061433447,0.457142857,0.105633803,0.131034483,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
91,0.305714412,0.44600939,0.761538462,0.327160494,0.4375,0.163822526,0.220408163,0.073943662,0.155172414,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,0.459325265,0.464788732,0.384615385,0.271604938,0.022321429,0,0.069387755,0.461267606,0.310344828,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,0.085516691,0.207914152,0.126923077,0.197530864,0.160714286,0.030716724,0.114285714,0.070422535,0.282758621,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
281,0.96369198,0.771294433,0.176923077,0.200617284,0.138392857,0.075085324,0.155102041,0,0.810344828,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
169,0.601188101,0.252850436,0.361538462,0.354938272,0.267857143,0.013651877,0.06122449,0,0.279310345,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
174,0.618078645,0.133467471,0.157692308,0.231481481,0.053571429,0.078498294,0.159183673,0,0.251724138,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
280,0.962362016,0.419517103,0.35,0.12654321,0.254464286,0,0.404081633,0.088028169,0.265517241,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
266,0.928536596,0.231052985,0.296153846,0.271604938,0.102678571,0.105802048,0.142857143,0,0.324137931,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
222,0.784944806,0.011066398,0.557692308,0.216049383,0.549107143,0.194539249,0.114285714,0.105633803,0.027586207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,0.144168107,0.233400402,0.276923077,0.25,0.214285714,0.020477816,0.2,0,0.237931034,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
97,0.317152104,0.605969148,0.488461538,0.212962963,0.883928571,0,0,0.017605634,0.268965517,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,0.601853083,0.126760563,0.353846154,0.095679012,0.59375,0,0.183673469,0.017605634,0.189655172,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
285,0.986079709,0.483903421,0.284615385,0.030864198,0.191964286,0.153583618,0.32244898,0.091549296,0.334482759,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
196,0.691138006,0.319919517,0.019230769,0.225308642,0,0.075085324,0.057142857,0,0.693103448,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
150,0.531010329,0.311871227,0,0.101851852,0,0.133105802,0.097959184,0.088028169,0.572413793,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,0.771778162,0.923205902,0.353846154,0.049382716,0.0625,0.010238908,0.608163265,0.059859155,0.568965517,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,0.030855167,0.804158283,0.446153846,0.324074074,0.125,0.061433447,0.236734694,0,0.479310345,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
233,0.803032318,0.772300469,0.073076923,0.037037037,0.21875,0.122866894,0.114285714,0.052816901,0.917241379,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
282,0.967149887,0.570422535,0.184615385,0.074074074,0.352678571,0.020477816,0.171428571,0.211267606,0.35862069,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
256,0.878707275,0.024144869,0.715384615,0.37037037,0.040178571,0.467576792,0.2,0,0.027586207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
148,0.526577116,0.421529175,0.961538462,0.490740741,0.129464286,0.194539249,0.485714286,0.052816901,0.113793103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
171,0.606241965,0.128101945,0.026923077,0.314814815,0,0.054607509,0,0,0.337931034,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
159,0.554905351,0.558685446,0.969230769,0.234567901,0.245535714,0.129692833,0.555102041,0.267605634,0.168965517,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
